id_veiculo,linha,latitude,longitude,timestamp_gps,velocidade,sentido,vista,placa,direcao,ignicao,hodometro,capacidade_pe,capacidade_sentado,id_migracao_trajeto,timestamp_captura
902110,41,-23.008691,-43.440734,2025-10-28 10:16:49-03:00,0.0,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],, ,1,135983.3,0,0,3542,2025-10-28 10:17:03.729613
902114,41,-23.008598,-43.440543,2025-10-28 10:16:42-03:00,0.0,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],, ,1,124700.5,0,0,3542,2025-10-28 10:17:03.729613
902078,40,-23.000947,-43.36726,2025-10-28 09:37:14-03:00,0.0,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],, ,0,128927.6,0,0,8973,2025-10-28 10:17:03.729613
902111,22,-23.000602,-43.364559,2025-10-28 10:16:51-03:00,0.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],, ,1,139908.5,0,0,8970,2025-10-28 10:17:03.729613
902025,41,-23.008453,-43.439814,2025-10-28 10:16:59-03:00,0.0,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],, ,1,120129.8,0,0,3542,2025-10-28 10:17:03.729613
903054,17,-22.901185,-43.552801,2025-10-28 10:13:36-03:00,13.6,ida,17 - CAMPO GRANDE  X SANTA CRUZ (PARADOR) [IDA],,167,1,175232.8,0,0,10580,2025-10-28 10:17:03.729613
903056,17,-22.91939,-43.646184,2025-10-28 09:57:05-03:00,0.0,volta,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [VOLTA],, ,0,163728.5,0,0,10579,2025-10-28 10:17:03.729613
903000,42,-22.876907,-43.329893,2025-10-28 10:16:43-03:00,0.0,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],,211,1,203078.5,0,0,9447,2025-10-28 10:17:03.729613
903058,17,-22.91783,-43.684293,2025-10-28 10:16:56-03:00,0.0,volta,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [VOLTA],,3,1,114348.1,0,0,10579,2025-10-28 10:17:03.729613
901072,53,-22.944506,-43.363472,2025-10-28 08:57:49-03:00,0.0,ida,53 - SULACAP X ALVORADA (EXPRESSO) [IDA],,291,0,239816.0,0,0,8966,2025-10-28 10:17:03.729613
902045,41,-22.963076,-43.393586,2025-10-28 10:16:52-03:00,0.5,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],,37,1,159641.0,0,0,3542,2025-10-28 10:17:03.729613
903008,42,-22.852498,-43.312616,2025-10-28 10:16:39-03:00,0.0,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],,205,1,226307.6,0,0,9447,2025-10-28 10:17:03.729613
903007,42,-22.845408,-43.239041,2025-10-28 10:16:46-03:00,18.4,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],,40,1,255630.7,0,0,9449,2025-10-28 10:17:03.729613
903004,42,-22.853507,-43.248327,2025-10-28 10:16:59-03:00,28.6,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],,214,1,213242.7,0,0,9447,2025-10-28 10:17:03.729613
903006,42,-22.877168,-43.329953,2025-10-23 10:53:32-03:00,0.0,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],, ,0,232327.2,0,0,9447,2025-10-28 10:17:03.729613
901046,22,-22.973177,-43.38443,2025-10-28 10:16:51-03:00,58.1,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],,264,1,69044.2,0,0,8970,2025-10-28 10:17:03.729613
903005,42,-22.839945,-43.239396,2025-10-28 10:16:48-03:00,0.0,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],,142,1,200362.5,0,0,9447,2025-10-28 10:17:03.729613
903022,42,-22.876959,-43.329849,2025-10-08 15:58:08-03:00,0.0,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],,143,0,264082.2,0,0,9447,2025-10-28 10:17:03.729613
903035,17,-22.911444,-43.590072,2025-10-28 10:16:44-03:00,36.1,volta,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [VOLTA],,70,1,19603.8,0,0,10579,2025-10-28 10:17:03.729613
901059,51,-22.923002,-43.397793,2025-10-28 10:16:54-03:00,60.3,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],,16,1,298959.5,0,0,3551,2025-10-28 10:17:03.729613
903003,42,-22.839571,-43.239725,2025-10-28 10:16:53-03:00,0.0,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],, ,1,214339.1,0,0,9447,2025-10-28 10:17:03.729613
901019,22,-23.00085,-43.366706,2025-10-28 10:13:56-03:00,20.4,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],,45,1,233324.0,0,0,8970,2025-10-28 10:17:03.729613
901020,22,-22.964538,-43.392229,2025-10-28 10:06:59-03:00,0.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],,342,0,3122.0,0,0,8970,2025-10-28 10:17:03.729613
901021,22,-23.000084,-43.352198,2025-10-28 10:16:48-03:00,0.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],,86,1,211136.4,0,0,8970,2025-10-28 10:17:03.729613
901022,53,-22.964556,-43.392305,2025-10-28 08:33:37-03:00,0.0,ida,53 - SULACAP X ALVORADA (EXPRESSO) [IDA],,348,0,263885.2,0,0,8966,2025-10-28 10:17:03.729613
901023,22,-23.006488,-43.31516,2025-10-28 10:16:57-03:00,41.5,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],,93,1,59127.7,0,0,8970,2025-10-28 10:17:03.729613
901024,51,-22.853906,-43.384019,2025-10-28 10:16:51-03:00,0.0,ida,51 - T. DEODORO X T. RECREIO (PARADOR) [IDA],,289,1,192852.7,0,0,3552,2025-10-28 10:17:03.729613
901025,35,-22.922674,-43.372929,2025-10-28 10:16:58-03:00,39.5,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],,255,1,241370.7,0,0,108,2025-10-28 10:17:03.729613
901026,35,-22.959231,-43.386291,2025-10-28 10:16:47-03:00,54.9,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],,252,1,276684.4,0,0,108,2025-10-28 10:17:03.729613
901027,22,-23.001123,-43.329354,2025-10-28 10:16:49-03:00,0.0,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],,290,1,254548.2,0,0,8971,2025-10-28 10:17:03.729613
901028,35,-22.878265,-43.336428,2025-10-28 10:16:39-03:00,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],,356,1,216713.6,0,0,108,2025-10-28 10:17:03.729613
903001,42,-22.842992,-43.270537,2025-10-28 10:16:54-03:00,37.7,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],,296,1,210026.9,0,0,9447,2025-10-28 10:17:03.729613
901029,53,-23.00179,-43.364632,2025-10-28 10:11:48-03:00,0.0,volta,53 - ALVORADA X SULACAP (EXPRESSO) [VOLTA],,46,1,250440.9,0,0,8967,2025-10-28 10:17:03.729613
901031,35,-22.964768,-43.392141,2025-10-28 10:10:09-03:00,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],,346,0,18103.0,0,0,108,2025-10-28 10:17:03.729613
901032,51,-22.867199,-43.411387,2025-10-28 10:16:46-03:00,48.2,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],,63,1,241263.8,0,0,3551,2025-10-28 10:17:03.729613
901033,35,-23.001901,-43.364808,2025-10-28 10:14:21-03:00,0.0,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],,49,1,231879.9,0,0,109,2025-10-28 10:17:03.729613
901034,35,-22.973178,-43.38551,2025-10-28 10:16:28-03:00,20.2,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],,284,1,18575.0,0,0,109,2025-10-28 10:17:03.729613
901035,53,-23.002315,-43.365258,2025-10-28 10:02:05-03:00,0.0,volta,53 - ALVORADA X SULACAP (EXPRESSO) [VOLTA],,43,1,259628.3,0,0,8967,2025-10-28 10:17:03.729613
901036,52,-22.965015,-43.391462,2025-10-28 10:10:13-03:00,0.0,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],, ,0,229561.1,0,0,9161,2025-10-28 10:17:03.729613
901037,35,-22.923019,-43.3738,2025-10-28 10:16:39-03:00,28.0,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],,38,1,225153.3,0,0,109,2025-10-28 10:17:03.729613
